id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
abadf001,Abad,Fernando,L,L,COL,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20230517,20230718,2023
abboa001,Abbott,Andrew,L,L,CIN,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,20230605,20230927,2023
abboc001,Abbott,Cory,R,R,WAS,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,20230501,20231001,2023
abrac001,Abrams,CJ,L,R,WAS,151,0,0,0,0,0,0,0,151,0,0,0,0,0,2,1,20230330,20231001,2023
abrea001,Abreu,Albert,R,R,NYA,45,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230907,2023
abreb002,Abreu,Bryan,R,R,HOU,81,81,0,81,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20231023,2023
abrej003,Abreu,Jose,R,R,HOU,152,0,0,0,0,145,0,0,0,0,0,0,0,7,0,0,20230330,20231023,2023
abrew002,Abreu,Wilyer,L,L,BOS,28,0,0,0,0,0,0,0,0,12,12,3,25,1,6,1,20230822,20231001,2023
acevd001,Acevedo,Domingo,R,R,OAK,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230503,2023
actog001,Acton,Garrett,L,R,OAK,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20230514,20230528,2023
acunr001,Acuna,Ronald,R,R,ATL,163,0,0,0,0,0,0,0,0,0,0,160,160,2,0,0,20230330,20231012,2023
acunr001,Acuna,Ronald,R,R,NLS,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20230711,20230711,2023
adama002,Adams,Austin,R,R,ARI,24,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,20230520,20230801,2023
adamj002,Adam,Jason,R,R,TBA,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230922,2023
adamj003,Adams,Jordyn,R,R,ANA,17,0,0,0,0,0,0,0,0,3,5,6,14,0,2,2,20230802,20230916,2023
adamr004,Adams,Riley,R,R,WAS,44,0,0,0,40,0,0,0,0,0,0,0,0,1,3,0,20230404,20230906,2023
adamw002,Adames,Willy,R,R,MIL,151,0,0,0,0,0,0,0,149,0,0,0,0,2,0,0,20230330,20231004,2023
adcot001,Adcock,Ty,R,R,SEA,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20230612,20230718,2023
adelj001,Adell,Jo,R,R,ANA,17,0,0,0,0,0,0,0,0,2,7,9,15,1,1,0,20230608,20231001,2023
adonj001,Adon,Joan,R,R,WAS,12,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,20230707,20230930,2023
adrie001,Adrianza,Ehire,B,R,ATL,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,20230409,20230501,2023
aguij001,Aguilar,Jesus,R,R,OAK,36,0,0,0,0,24,0,0,0,0,0,0,0,9,7,0,20230330,20230527,2023
ahmen001,Ahmed,Nick,R,R,ARI,72,0,0,0,0,0,0,0,65,0,0,0,0,3,10,0,20230330,20230905,2023
akink001,Akin,Keegan,L,L,BAL,24,24,1,23,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230628,2023
albeh001,Alberto,Hanser,R,R,CHA,30,2,0,2,0,2,11,19,0,0,0,0,0,0,2,0,20230402,20230531,2023
albio001,Albies,Ozzie,B,R,ATL,152,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,20230330,20231012,2023
albio001,Albies,Ozzie,B,R,NLS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20230711,20230711,2023
alcaj001,Alcala,Jorge,R,R,MIN,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20231001,2023
alcas001,Alcantara,Sandy,R,R,MIA,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230903,2023
alexs001,Alexander,Scott,L,L,SFN,55,55,8,47,0,0,0,0,0,0,0,0,0,0,0,0,20230402,20230921,2023
alext001,Alexander,Tyler,R,L,DET,25,25,1,24,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230702,2023
alfaj002,Alfaro,Jorge,R,R,BOS,8,0,0,0,6,0,0,0,0,0,0,0,0,2,0,1,20230708,20230731,2023
alfaj002,Alfaro,Jorge,R,R,COL,10,0,0,0,2,0,0,0,0,0,0,0,0,7,3,0,20230615,20230629,2023
allak001,Allard,Kolby,L,L,ATL,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,20230628,20230716,2023
alleg002,Allen,Greg,B,R,NYA,22,0,0,0,0,0,0,0,0,11,3,5,19,1,1,10,20230520,20230820,2023
allel003,Allen,Logan,R,L,CLE,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,20230423,20230919,2023
allen002,Allen,Nick,R,R,OAK,106,0,0,0,0,0,1,0,104,0,0,0,0,1,1,6,20230330,20231001,2023
almoa001,Almonte,Abraham,B,R,NYN,8,0,0,0,0,0,0,0,0,1,0,1,2,3,5,0,20230808,20230826,2023
almoy001,Almonte,Yency,R,R,LAN,49,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230811,2023
alonp001,Alonso,Pete,R,R,NLS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20230711,20230711,2023
alonp001,Alonso,Pete,R,R,NYN,154,0,0,0,0,144,0,0,0,0,0,0,0,9,0,0,20230330,20231001,2023
altuj001,Altuve,Jose,R,R,HOU,101,0,0,0,0,0,98,0,0,0,0,0,0,1,1,0,20230519,20231023,2023
alu-j001,Alu,Jake,L,R,WAS,51,0,0,0,0,0,24,5,0,27,0,0,27,0,5,0,20230509,20231001,2023
alvaf001,Alvarez,Francisco,R,R,NYN,123,0,0,0,108,0,0,0,0,0,0,0,0,7,16,2,20230409,20231001,2023
alvaj004,Alvarado,Jose,L,L,PHI,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20231024,2023
alvay001,Alvarez,Yordan,L,R,HOU,125,0,0,0,0,0,0,0,0,42,0,0,42,82,1,0,20230330,20231023,2023
alzoa001,Alzolay,Adbert,R,R,CHN,58,58,0,58,0,0,0,0,0,0,0,0,0,0,0,0,20230402,20230929,2023
amayj001,Amaya,Jacob,R,R,MIA,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,20230618,20230625,2023
amaym001,Amaya,Miguel,R,R,CHN,53,0,0,0,41,0,0,0,0,0,0,0,0,9,9,0,20230504,20231001,2023
andeb006,Anderson,Brian,R,R,MIL,96,0,0,0,0,0,0,70,0,0,0,39,39,4,5,0,20230330,20230927,2023
andec001,Anderson,Chase,R,R,COL,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,20230516,20230926,2023
andec001,Anderson,Chase,R,R,TBA,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20230503,20230509,2023
andeg002,Anderson,Grant,R,R,TEX,26,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,20230530,20230825,2023
anden001,Anderson,Nick,R,R,ATL,35,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230707,2023
andet001,Anderson,Tim,R,R,CHA,123,0,0,0,0,0,2,0,119,0,0,0,0,0,2,1,20230330,20230930,2023
andet002,Anderson,Tyler,L,L,ANA,27,27,25,2,0,0,0,0,0,0,0,0,0,0,0,0,20230402,20230916,2023
andrc002,Andrews,Clayton,L,L,MIL,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20230701,20230929,2023
andre001,Andrus,Elvis,R,R,CHA,112,0,0,0,0,0,63,3,52,0,0,0,0,1,2,2,20230330,20231001,2023
andum001,Andujar,Miguel,R,R,PIT,30,0,0,0,0,0,0,0,0,1,0,18,19,6,7,1,20230429,20231001,2023
antot001,Antone,Tejay,R,R,CIN,5,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,20230902,20230913,2023
aranj001,Aranda,Jonathan,L,R,TBA,35,0,0,0,0,11,4,2,0,0,0,0,0,12,11,0,20230708,20231003,2023
arauj001,Arauz,Jonathan,B,R,NYN,27,0,0,0,0,0,7,15,5,0,0,0,0,0,1,0,20230802,20230917,2023
arcio002,Arcia,Orlando,R,R,ATL,143,0,0,0,0,0,0,0,143,0,0,0,0,0,2,0,20230330,20231012,2023
arcio002,Arcia,Orlando,R,R,NLS,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20230711,20230711,2023
arenn001,Arenado,Nolan,R,R,NLS,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20230711,20230711,2023
arenn001,Arenado,Nolan,R,R,SLN,144,0,0,0,0,0,0,128,0,0,0,0,0,15,1,0,20230330,20230921,2023
ariag002,Arias,Gabriel,R,R,CLE,122,0,0,0,0,35,1,14,53,0,0,19,19,2,7,14,20230331,20230926,2023
armss001,Armstrong,Shawn,R,R,TBA,40,40,6,34,0,0,0,0,0,0,0,0,0,0,0,0,20230604,20231004,2023
arozr001,Arozarena,Randy,R,R,ALS,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20230711,20230711,2023
arozr001,Arozarena,Randy,R,R,TBA,153,0,0,0,0,0,0,0,0,141,0,0,141,12,2,0,20230330,20231004,2023
arral001,Arraez,Luis,L,R,MIA,149,0,0,0,0,12,136,0,0,0,0,0,0,1,6,0,20230330,20231004,2023
arral001,Arraez,Luis,L,R,NLS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20230711,20230711,2023
arroc001,Arroyo,Christian,R,R,BOS,66,0,0,0,0,0,62,4,4,0,0,0,0,0,5,1,20230330,20230802,2023
ashcg001,Ashcraft,Graham,L,R,CIN,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,20230402,20230901,2023
assaj001,Assad,Javier,R,R,CHN,32,32,10,22,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230930,2023
avilp001,Avila,Pedro,R,R,SDN,14,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,20230702,20231001,2023
azocj001,Azocar,Jose,R,R,SDN,55,0,0,0,0,0,0,0,0,9,17,21,44,2,7,10,20230331,20231001,2023
bachs001,Bachman,Sam,R,R,ANA,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,20230526,20230703,2023
badda001,Baddoo,Akil,L,L,DET,112,0,0,0,0,0,0,0,0,96,5,5,100,5,15,6,20230408,20231001,2023
badeh001,Bader,Harrison,R,R,CIN,14,0,0,0,0,0,0,0,0,0,12,0,12,2,1,4,20230901,20230917,2023
badeh001,Bader,Harrison,R,R,NYA,84,0,0,0,0,0,0,0,0,0,83,0,83,0,4,0,20230502,20230830,2023
bae-j001,Bae,Ji Hwan,L,R,PIT,111,0,0,0,0,0,64,0,3,0,62,0,62,0,7,4,20230330,20231001,2023
baezj001,Baez,Javier,R,R,DET,136,0,0,0,0,0,0,0,130,0,0,0,0,5,4,0,20230330,20231001,2023
bailp001,Bailey,Patrick,B,R,SFN,97,0,0,0,94,0,0,0,0,0,0,0,0,1,5,0,20230519,20230930,2023
bakeb001,Baker,Bryan,R,R,BAL,47,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20231008,2023
bakel001,Baker,Luken,R,R,SLN,33,0,0,0,0,12,0,0,0,0,0,0,0,17,5,0,20230604,20231001,2023
balaj001,Balazovic,Jordan,R,R,MIN,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,20230618,20230819,2023
